id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,asin,epid,gamestop-price,gamestop-trade-price
16019,Wii,Castlevania Judgment,$8.29,$8.50,$15.24,$1.74,$8.69,$1.80,$8.89,$3.20,$15.99,B001CU4EMW,69564830,$4.99,$0.40
16479,Wii,Cate West: The Vanishing Files,$5.00,$6.00,$14.99,$1.00,$4.99,$1.30,$6.29,$3.20,$15.99,B001C3N0RY,70795673,$4.99,
16319,Wii,Celebrity Sports Showdown,$1.00,$4.00,$4.00,,$1.99,$1.00,$4.99,$0.80,$4.19,B001DZDU9O,70171821,$4.99,
31886,Wii,Centipede: Infestation,$2.92,$5.78,$7.00,,$3.09,$1.20,$6.09,$1.50,$7.39,B003VJGIDU,93202868,$4.99,$0.16
31880,Wii,Champion Jockey: G1 Jockey & Gallop Racer,$17.70,$17.99,$69.95,$3.80,$18.99,$6.90,$22.99,$29.20,$72.99,B005DVAB32,108869794,$4.99,
16022,Wii,Championship Foosball,$0.99,$1.69,$6.25,,$1.99,$1.00,$4.99,$1.30,$6.59,B001HWYKDS,71015386,$4.99,
21620,Wii,Chaotic: Shadow Warriors,$0.50,$0.99,$14.95,,$1.99,$1.00,$4.99,$3.20,$15.99,B002ASVYM8,72415499,$4.99,
19793,Wii,Charm Girls Club: Pajama Party,$2.25,$3.99,$11.99,,$2.39,$1.00,$4.99,$2.60,$12.99,B002BCVFEA,73543325,$4.99,
30897,Wii,Chevrolet Camaro: Wild Ride,$1.00,$5.99,$10.95,,$1.99,$1.30,$6.29,$2.40,$11.99,B003OPX910,96917563,$4.99,
21652,Wii,Chicken Blaster,$3.44,$4.95,$12.99,,$3.59,$1.00,$5.19,$2.80,$13.99,B002FUI4OC,77782546,$4.99,
30898,Wii,Chicken Blaster Bundle,$10.00,$15.00,$19.97,$2.20,$10.99,$3.20,$15.99,$6.30,$20.99,B002JTMNVO,,,
11497,Wii,Chicken Little Ace In Action,$1.52,$1.99,$9.99,,$1.99,$1.00,$4.99,$2.00,$9.99,B000GUPKBI,56241934,$4.99,
21666,Wii,Chicken Riot,$6.57,$13.70,$32.75,$1.38,$6.89,$2.80,$13.99,$10.20,$33.99,B002HGE308,73369439,$9.99,$1.60
